Date,Open,High,Low,Close
12/29/2009,10547.83 ,10580.33 ,10544.28 ,10545.41 
12/28/2009,10517.91 ,10551.61 ,10506.34 ,10547.08 
12/24/2009,10467.12 ,10522.06 ,10461.68 ,10520.10 
12/23/2009,10464.32 ,10492.06 ,10437.80 ,10466.44 
12/22/2009,10414.67 ,10479.82 ,10414.59 ,10464.93 
12/21/2009,10330.10 ,10458.05 ,10329.80 ,10414.14 
12/18/2009,10309.39 ,10372.35 ,10263.90 ,10328.89 
12/17/2009,10439.99 ,10440.06 ,10307.96 ,10308.26 
12/16/2009,10449.81 ,10509.97 ,10427.59 ,10441.12 
12/15/2009,10499.31 ,10499.31 ,10426.69 ,10452.00 
12/14/2009,10471.28 ,10514.66 ,10471.28 ,10501.05 
12/11/2009,10403.41 ,10484.05 ,10400.08 ,10471.50 
12/10/2009,10336.00 ,10444.60 ,10335.77 ,10405.83 
12/09/2009,10282.85 ,10342.27 ,10235.63 ,10337.05 
12/08/2009,10385.42 ,10385.65 ,10249.84 ,10285.97 
12/07/2009,10386.86 ,10443.16 ,10360.18 ,10390.11 
12/04/2009,10368.57 ,10516.70 ,10311.81 ,10388.90 
12/03/2009,10455.63 ,10507.63 ,10350.05 ,10366.15 
12/02/2009,10470.44 ,10513.52 ,10421.47 ,10452.68 
12/01/2009,10343.82 ,10501.28 ,10343.44 ,10471.58 
11/30/2009,10309.77 ,10364.34 ,10263.29 ,10344.84 
11/27/2009,10452.23 ,10452.23 ,10231.25 ,10309.92 
11/25/2009,10432.96 ,10481.48 ,10420.94 ,10464.40 
11/24/2009,10451.25 ,10453.97 ,10359.58 ,10433.71 
11/23/2009,10320.13 ,10495.61 ,10320.05 ,10450.95 
11/20/2009,10327.91 ,10342.72 ,10271.68 ,10318.16 
11/19/2009,10425.33 ,10425.33 ,10256.11 ,10332.44 
11/18/2009,10426.27 ,10432.66 ,10360.10 ,10426.31 
11/17/2009,10404.77 ,10438.17 ,10361.99 ,10437.42 
11/16/2009,10267.53 ,10434.24 ,10267.45 ,10406.96 
11/13/2009,10197.85 ,10305.69 ,10192.03 ,10270.47 
11/12/2009,10289.82 ,10321.64 ,10171.24 ,10197.47 
11/11/2009,10247.42 ,10341.97 ,10246.14 ,10291.26 
11/10/2009,10223.01 ,10260.80 ,10197.69 ,10246.97 
11/09/2009,10020.62 ,10228.23 ,10020.62 ,10226.94 
11/06/2009,10001.35 ,10044.50 ,9936.81 ,10023.42 
11/05/2009,9807.80 ,10013.07 ,9807.80 ,10005.96 
11/04/2009,9767.30 ,9928.04 ,9767.14 ,9802.14 
11/03/2009,9787.47 ,9787.47 ,9703.89 ,9771.91 
11/02/2009,9712.13 ,9858.59 ,9678.95 ,9789.44 
10/30/2009,9961.52 ,9962.13 ,9684.54 ,9712.73 
10/29/2009,9762.91 ,9969.91 ,9759.13 ,9962.58 
10/28/2009,9881.11 ,9902.42 ,9758.08 ,9762.69 
10/27/2009,9868.34 ,9947.54 ,9837.96 ,9882.17 
10/26/2009,9972.33 ,10072.32 ,9849.45 ,9867.96 
10/23/2009,10099.90 ,10109.57 ,9932.50 ,9972.18 
10/22/2009,9946.18 ,10105.19 ,9916.78 ,10081.31 
10/21/2009,10038.84 ,10119.47 ,9943.76 ,9949.36 
10/20/2009,10092.42 ,10098.39 ,9992.81 ,10041.48 
10/19/2009,9996.67 ,10117.96 ,9995.15 ,10092.19 
10/16/2009,10061.36 ,10061.66 ,9939.91 ,9995.91 
10/15/2009,10014.88 ,10062.94 ,9977.47 ,10062.94 
10/14/2009,9873.55 ,10027.73 ,9873.48 ,10015.86 
10/13/2009,9883.98 ,9895.09 ,9815.06 ,9871.06 
10/12/2009,9865.24 ,9931.82 ,9849.37 ,9885.80 
10/09/2009,9786.04 ,9865.01 ,9764.88 ,9864.94 
10/08/2009,9728.22 ,9836.67 ,9728.07 ,9786.87 
10/07/2009,9725.69 ,9740.32 ,9675.62 ,9725.58 
10/06/2009,9601.26 ,9774.32 ,9601.26 ,9731.25 
10/05/2009,9488.73 ,9625.06 ,9481.09 ,9599.75 
10/02/2009,9507.62 ,9524.78 ,9430.08 ,9487.67 
10/01/2009,9711.60 ,9711.67 ,9500.37 ,9509.28 
09/30/2009,9741.83 ,9776.82 ,9608.59 ,9712.28 
09/29/2009,9789.74 ,9834.48 ,9739.11 ,9742.20 
09/28/2009,9663.23 ,9823.67 ,9663.23 ,9789.36 
09/25/2009,9706.68 ,9735.93 ,9641.01 ,9665.19 
09/24/2009,9749.99 ,9805.39 ,9666.03 ,9707.44 
09/23/2009,9830.63 ,9917.99 ,9740.84 ,9748.55 
09/22/2009,9779.61 ,9843.40 ,9771.91 ,9829.87 
09/21/2009,9818.61 ,9818.69 ,9725.88 ,9778.86 
09/18/2009,9784.75 ,9847.71 ,9784.68 ,9820.20 
09/17/2009,9789.82 ,9854.58 ,9749.46 ,9783.92 
09/16/2009,9683.71 ,9799.72 ,9679.18 ,9791.71 
09/15/2009,9626.42 ,9713.71 ,9580.93 ,9683.41 
09/14/2009,9598.08 ,9631.11 ,9535.96 ,9626.80 
09/11/2009,9625.44 ,9649.85 ,9571.56 ,9605.41 
09/10/2009,9546.54 ,9633.00 ,9508.22 ,9627.48 
09/09/2009,9496.59 ,9577.22 ,9476.18 ,9547.22 
09/08/2009,9440.13 ,9511.02 ,9439.98 ,9497.34 
09/04/2009,9345.36 ,9445.72 ,9321.63 ,9441.27 
09/03/2009,9282.03 ,9350.27 ,9252.93 ,9344.61 
09/02/2009,9306.21 ,9330.93 ,9262.30 ,9280.67 
09/01/2009,9492.32 ,9557.95 ,9292.08 ,9310.60 
08/31/2009,9542.91 ,9543.06 ,9436.13 ,9496.28 
08/28/2009,9582.74 ,9630.20 ,9495.98 ,9544.20 
08/27/2009,9541.63 ,9609.72 ,9459.40 ,9580.63 
08/26/2009,9538.61 ,9582.97 ,9485.78 ,9543.52 
08/25/2009,9509.21 ,9620.00 ,9508.98 ,9539.29 
08/24/2009,9506.18 ,9587.73 ,9486.23 ,9509.28 
08/21/2009,9347.86 ,9519.11 ,9347.25 ,9505.96 
08/20/2009,9278.55 ,9363.95 ,9267.97 ,9350.05 
08/19/2009,9208.68 ,9313.09 ,9131.94 ,9279.16 
08/18/2009,9134.36 ,9233.51 ,9134.36 ,9217.94 
08/17/2009,9313.85 ,9313.85 ,9116.52 ,9135.34 
08/14/2009,9398.04 ,9401.97 ,9232.83 ,9321.40 
08/13/2009,9362.29 ,9406.50 ,9305.31 ,9398.19 
08/12/2009,9236.06 ,9424.11 ,9221.02 ,9361.61 
08/11/2009,9334.33 ,9334.33 ,9216.88 ,9241.45 
08/10/2009,9368.41 ,9371.96 ,9290.34 ,9337.95 
08/07/2009,9258.45 ,9437.71 ,9258.45 ,9370.07 
08/06/2009,9277.19 ,9325.11 ,9208.80 ,9256.26 
08/05/2009,9315.36 ,9318.08 ,9206.45 ,9280.97 
08/04/2009,9285.05 ,9321.10 ,9250.74 ,9320.19 
08/03/2009,9173.65 ,9298.43 ,9173.65 ,9286.56 
07/31/2009,9154.61 ,9218.77 ,9133.45 ,9171.61 
07/30/2009,9072.84 ,9246.43 ,9072.61 ,9154.46 
07/29/2009,9092.34 ,9094.83 ,9014.19 ,9070.72 
07/28/2009,9106.92 ,9124.91 ,9007.47 ,9096.72 
07/27/2009,9093.09 ,9123.40 ,9034.52 ,9108.51 
07/24/2009,9066.11 ,9100.88 ,9007.39 ,9093.24 
07/23/2009,8882.31 ,9096.72 ,8866.44 ,9069.29 
07/22/2009,8912.39 ,8949.80 ,8860.32 ,8881.26 
07/21/2009,8848.15 ,8927.13 ,8811.27 ,8915.94 
07/20/2009,8746.05 ,8854.80 ,8745.90 ,8848.15 
07/17/2009,8711.89 ,8754.29 ,8674.41 ,8743.94 
07/16/2009,8612.66 ,8739.55 ,8584.40 ,8711.82 
